zat_origen;total;prob;acum
143;29.468.861.256;0.00161288228577702;0.168872511966338
144;13.982.126.519;0.000765266224034925;0.169637778190373
146;60.440.290.992;0.00330800277083517;0.172945780961208
147;8.706.273.518;0.00047650956751689;0.173422290528725
148;7.821.558.122;0.00428087547481349;0.177703166003538
151;45.009.215.991;0.00246343306373317;0.180166599067271
152;83.842.165.088;0.00458882824473222;0.184755427312004
153;18.685.090.748;0.00102266767669719;0.185778094988701
155;62.926.906.912;0.00344409960654451;0.189222194595245
161;86.208.959.447;0.00471836703696943;0.193940561632215
164;49.614.078.204;0.00271546522158519;0.1966560268538
165;301.843.694;0.00165204329714972;0.19830807015095
166;1.972.349.287;0.00107950123987894;0.199387571390828
167;185.430.158.228;0.0101489166770527;0.209536488067881
168;66.127.134.286;0.00361925364446759;0.213155741712349
171;3.634.768.765;0.00198937247796451;0.215145114190313
172;2.566.288.121;0.000140457434530768;0.215285571624844
173;7.403.364.099;0.000405199057632519;0.215690770682477
175;56.229.418.048;0.00307753433433756;0.218768305016814
176;91.755.701.305;0.00502194991412335;0.223790254930938
178;14.750.492.599;0.000807320242636394;0.224597575173574
179;85.808.969.301;0.00469647487712774;0.229294050050702
180;549.099.413;0.00300531706557864;0.23229936711628
181;51.943.405.897;0.00284295339770346;0.235142320513984
183;8.375.686.265;0.00458415949319857;0.239726480007182
185;3.008.781.487;0.00164675869895315;0.241373238706135
186;2.067.359.251;0.00113150185387508;0.242504740560011
187;21.582.682.143;0.00118125791850587;0.243685998478516
189;485.412.721;0.00265674866833315;0.24634274714685
194;8.471.091.366;0.0046363763725815;0.250979123519431
195;1.529.417.422;0.000837076888066149;0.251816200407497
198;4.894.580.957;0.00267888971116572;0.254495090118663
201;34.523.017.063;0.0018895050673583;0.256384595186021
202;2.394.741.027;0.0013106836222541;0.257695278808275
203;310.553.333;0.00169971267377266;0.259394991482048
204;73.236.178.848;0.00400834407939285;0.263403335561441
207;3.728.004.797;0.00204040218797013;0.265443737749411
208;4.333.465.326;0.000237178131846248;0.265680915881257
211;25.081.529.736;0.00137275596297931;0.267053671844237
212;3.017.879.806;0.00165173836797326;0.26870541021221
213;3.766.716.033;0.00206158952407468;0.270766999736285
214;5.141.993.439;0.00028143028871386;0.271048430024998
215;4.139.673.276;0.00226571554216589;0.273314145567164
216;3.116.323.087;0.000170561809637517;0.273484707376802
217;5.093.787.445;0.00027879189040198;0.273763499267204
218;1.696.646.035;0.000928604030984793;0.274692103298189
219;196.109.881.047;0.00107334365742465;0.275765446955613
222;146.877.171.257;0.000803884431256128;0.276569331386869
224;432.890.709;0.00236928651622532;0.278938617903095
225;1.176.149.916;6,44E+08;0.279002990643814
226;2.922.306.464;0.00159942940735032;0.280602420051165
227;109.393.949.578;0.000598732207236603;0.281201152258401
228;1.168.816.771;0.000639713848759992;0.281840866107161
229;206.887.712;0.00113233261010993;0.282973198717271
230;5.146.789.614;0.000281692791754944;0.283254891509026
231;309.279.585;0.00169274122832759;0.284947632737354
232;1.303.332.739;0.000713336789279003;0.285660969526633
233;2.563.084.683;0.00140282104769672;0.287063790574329
234;4.133.914.064;0.00226256342477182;0.289326353999101
235;6.668.230.837;0.000364963929248525;0.28969131792835
236;1.488.057.451;0.000814439852998305;0.290505757781348
239;6.044.948.264;0.00330850584579649;0.293814263627144
240;2.142.274.684;0.00117250437981843;0.294986768006963
241;239.344.500.309;0.0130997428571469;0.30808651086411
242;20.018.068.001;0.00109562385169257;0.309182134715802
243;3.695.366.367;0.00202253860473722;0.31120467332054
245;1.521.389.827;8,33E+09;0.31128794164504
246;44.467.672.953;0.00243379346668908;0.313721735111729
247;77.285.667.716;0.0042299796833244;0.317951714795054
248;6.222.202.628;0.00340552025747962;0.321357235052533
251;4.118.418.437;0.00225408239726343;0.323611317449797
253;5.640.365.503;0.000308707062891487;0.323920024512688
254;81.099.267.861;0.00443870468513134;0.32835872919782
255;510.071.215.008;0.00279170891614844;0.331150438113968
256;3.381.065.075;0.0018505160138879;0.333000954127856
257;2.499.795.845;0.00136818196042054;0.334369136088277
258;177.733.626.411;0.00972767203778011;0.344096808126057
259;792.141.170.936;0.00433552708853726;0.348432335214594
261;13.310.957.942;0.00728531994666185;0.355717655161256
263;7.969.571.102;0.000436188556591718;0.356153843717848
264;3.174.220.459;0.000173730634007099;0.356327574351855
271;28.816.225.415;0.00157716238544332;0.357904736737298
