FID;Area;MUNCod;NOMMun;ZAT;UTAM
123;222963,141903000010000;11001,000000000000000;Bogotá;458,000000000000000;UTAM94
124;121850,723685000000000;11001,000000000000000;Bogotá;476,000000000000000;UTAM94
125;181665,887202999990000;11001,000000000000000;Bogotá;456,000000000000000;UTAM93
126;142941,315766999990000;11001,000000000000000;Bogotá;993,000000000000000;UTAM93
127;802473,864963999950000;11001,000000000000000;Bogotá;155,000000000000000;UTAM14
128;518185,395806999990000;11001,000000000000000;Bogotá;151,000000000000000;UTAM14
129;424894,646268000010000;11001,000000000000000;Bogotá;259,000000000000000;UTAM97
130;338620,640957999970000;11001,000000000000000;Bogotá;258,000000000000000;UTAM97
131;181939,870460000010000;11001,000000000000000;Bogotá;257,000000000000000;UTAM97
132;203617,535960999990000;11001,000000000000000;Bogotá;256,000000000000000;UTAM97
133;130414,332745000010000;11001,000000000000000;Bogotá;242,000000000000000;UTAM97
134;222753,959353000010000;11001,000000000000000;Bogotá;460,000000000000000;UTAM94
135;476806,179372999990000;11001,000000000000000;Bogotá;459,000000000000000;UTAM94
136;130831,358080000010000;11001,000000000000000;Bogotá;457,000000000000000;UTAM94
137;462017,947809999980000;11001,000000000000000;Bogotá;664,000000000000000;UTAM70
138;269180,655258000010000;11001,000000000000000;Bogotá;165,000000000000000;UTAM97
139;265160,054979000010000;11001,000000000000000;Bogotá;164,000000000000000;UTAM97
140;662184,872597999990000;11001,000000000000000;Bogotá;168,000000000000000;UTAM98
141;257415,442030000010000;11001,000000000000000;Bogotá;241,000000000000000;UTAM97
142;187107,855148000000000;11001,000000000000000;Bogotá;224,000000000000000;UTAM98
143;206658,035532000010000;11001,000000000000000;Bogotá;246,000000000000000;UTAM97
144;65841,625992800007000;11001,000000000000000;Bogotá;489,000000000000000;UTAM96
145;331704,736051000010000;11001,000000000000000;Bogotá;492,000000000000000;UTAM32
146;359782,901618000000000;11001,000000000000000;Bogotá;452,000000000000000;UTAM95
147;401335,743710000010000;11001,000000000000000;Bogotá;602,000000000000000;UTAM32
148;326208,939476999980000;11001,000000000000000;Bogotá;453,000000000000000;UTAM93
149;404119,888603999980000;11001,000000000000000;Bogotá;443,000000000000000;UTAM102
150;288441,362847000010000;11001,000000000000000;Bogotá;454,000000000000000;UTAM93
151;131593,313766000010000;11001,000000000000000;Bogotá;470,000000000000000;UTAM33
152;469700,596760999990000;11001,000000000000000;Bogotá;462,000000000000000;UTAM95
153;925845,182633999970000;11001,000000000000000;Bogotá;621,000000000000000;UTAM69
154;165111,806170000000000;11001,000000000000000;Bogotá;963,000000000000000;UTAM70
155;357945,084995999990000;11001,000000000000000;Bogotá;662,000000000000000;UTAM66
156;279667,458091999990000;11001,000000000000000;Bogotá;661,000000000000000;UTAM66
157;312550,485074999980000;11001,000000000000000;Bogotá;663,000000000000000;UTAM66
158;196785,778026999990000;11001,000000000000000;Bogotá;670,000000000000000;UTAM66
159;158667,232702999990000;11001,000000000000000;Bogotá;712,000000000000000;UTAM67
160;156740,031336999990000;11001,000000000000000;Bogotá;442,000000000000000;UTAM102
161;261858,777428000000000;11001,000000000000000;Bogotá;355,000000000000000;UTAM93
162;209523,189779000010000;11001,000000000000000;Bogotá;466,000000000000000;UTAM33
163;157932,248178999990000;11001,000000000000000;Bogotá;451,000000000000000;UTAM35
164;170912,939306999990000;11001,000000000000000;Bogotá;468,000000000000000;UTAM33
165;447470,605923999970000;11001,000000000000000;Bogotá;446,000000000000000;UTAM37
166;331718,528710999990000;11001,000000000000000;Bogotá;444,000000000000000;UTAM102
167;244044,294948000000000;11001,000000000000000;Bogotá;449,000000000000000;UTAM35
168;642620,493751000030000;11001,000000000000000;Bogotá;500,000000000000000;UTAM35
169;756151,047983000050000;11001,000000000000000;Bogotá;620,000000000000000;UTAM65
170;770410,802452999980000;11001,000000000000000;Bogotá;572,000000000000000;UTAM65
171;423380,318291999980000;11001,000000000000000;Bogotá;627,000000000000000;UTAM65
172;317450,754849000020000;11001,000000000000000;Bogotá;628,000000000000000;UTAM65
173;533823,001692999970000;11001,000000000000000;Bogotá;629,000000000000000;UTAM65
174;622697,181029999980000;11001,000000000000000;Bogotá;573,000000000000000;UTAM42
175;604520,254014999950000;11001,000000000000000;Bogotá;447,000000000000000;UTAM38
176;242722,498358000010000;11001,000000000000000;Bogotá;438,000000000000000;UTAM37
177;311603,675442999990000;11001,000000000000000;Bogotá;434,000000000000000;UTAM37
178;198313,870747000010000;11001,000000000000000;Bogotá;439,000000000000000;UTAM37
179;414640,334771000020000;11001,000000000000000;Bogotá;432,000000000000000;UTAM40
180;665600,461698999980000;11001,000000000000000;Bogotá;433,000000000000000;UTAM102
181;237211,872498000010000;11001,000000000000000;Bogotá;440,000000000000000;UTAM102
182;454706,219174999980000;11001,000000000000000;Bogotá;501,000000000000000;UTAM38
183;537753,939230000020000;11001,000000000000000;Bogotá;618,000000000000000;UTAM42
184;413331,295531000010000;11001,000000000000000;Bogotá;631,000000000000000;UTAM42
185;106919,293804000000000;11001,000000000000000;Bogotá;987,000000000000000;UTAM42
186;627572,932933000030000;11001,000000000000000;Bogotá;657,000000000000000;UTAM62
187;170207,891907999990000;11001,000000000000000;Bogotá;675,000000000000000;UTAM67
188;294818,453672999980000;11001,000000000000000;Bogotá;674,000000000000000;UTAM67
